model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,ablation
pit_dern,fold_1,2022,Global-Numeric,123,241,26.97050728945294,21.796666195215764,2.217829824908731,-0.4684773714460069,0.4666666666666667,0.4959595249806759,-0.0095568093451429,1.0,240,1,0,82,25,103,30,0.2291666666666666,encoder_only
pit_dern,fold_1,2022,Global-Numeric,123,241,7.593219018351024,5.963168714048543,0.6064449767616236,0.8836032425848882,0.5,0.5031972454500737,0.0063677000935549,1.0,240,1,0,57,50,70,63,0.4708333333333333,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric,123,241,6.882250201740636,5.27485313663338,0.5367719289246943,0.9043797350714936,0.5125,0.5163024383388377,0.032485254616047,1.0,240,1,0,59,48,69,64,0.4666666666666667,dual_evidence
pit_dern,fold_1,2022,Global-Numeric,123,241,26.71146705589106,21.595295035279463,2.197389120029886,-0.4404046360993139,0.4666666666666667,0.4959595249806759,-0.0095568093451429,1.0,240,1,0,82,25,103,30,0.2291666666666666,pit_dern
pit_dern,fold_1,2022,Global-Numeric,123,241,26.828644754106485,21.6925457765832,2.2072171646927568,-0.4530698714583399,0.4666666666666667,0.4959595249806759,-0.0095568093451429,1.0,240,1,0,82,25,103,30,0.2291666666666666,shuffled_retrieval_control
pit_dern,fold_1,2022,Global-Numeric-News,123,241,31.83402632104213,25.204406736864087,2.566186474979544,-1.04584237737028,0.4708333333333333,0.4896704377766847,-0.0219242533734955,1.0,240,1,0,71,36,91,42,0.325,encoder_only
pit_dern,fold_1,2022,Global-Numeric-News,123,241,8.07156670703436,6.310279458537422,0.6432887796806838,0.8684760907252695,0.475,0.4715058674724194,-0.0567495030315721,1.0,240,1,0,47,60,66,67,0.5291666666666667,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric-News,123,241,7.2704696509809,5.525690663776071,0.5625577966889082,0.8932878278705223,0.475,0.4742463635724826,-0.0512059112853377,1.0,240,1,0,50,57,69,64,0.5041666666666667,dual_evidence
pit_dern,fold_1,2022,Global-Numeric-News,123,241,31.34030657737236,24.826340074693544,2.5274816189469016,-0.982875785445838,0.4708333333333333,0.4896704377766847,-0.0219242533734955,1.0,240,1,0,71,36,91,42,0.325,pit_dern
pit_dern,fold_1,2022,Global-Numeric-News,123,241,31.570655955611844,25.01455030588883,2.54677787125186,-1.012130940382419,0.4708333333333333,0.4896704377766847,-0.0219242533734955,1.0,240,1,0,71,36,91,42,0.325,shuffled_retrieval_control
